"","H","Gini","AUC","AUCH","KS","MER","MWL","Spec.Sens95","Sens.Spec95","ER","Sens","Spec","Precision","Recall","TPR","FPR","F","Youden","TP","FP","TN","FN","MCC"
"signalP41notm",0.837382993828966,0.897196261682243,0.948598130841122,0.948598130841122,0.897196261682243,0.0514018691588785,0.0514018691588785,0.99675997696771,0.430718150516477,0.0514018691588785,0.985981308411215,0.911214953271028,0.917391304347826,0.985981308411215,0.985981308411215,0.0887850467289719,0.950450450450451,0.897196261682243,211,19,195,3,0.899714491384853
"signalP41tm",0.91786662342734,0.948598130841122,0.974299065420561,0.974299065420561,0.948598130841122,0.0257009345794392,0.0257009345794392,0.99947205248023,0.999235344095157,0.0257009345794393,0.97196261682243,0.976635514018692,0.976525821596244,0.97196261682243,0.97196261682243,0.0233644859813084,0.97423887587822,0.948598130841122,208,5,209,6,0.94860848779005
"signalP3nn",0.843732058763775,0.901869158878505,0.950934579439252,0.950934579439252,0.901869158878505,0.0490654205607476,0.0490654205607476,0.9998236210372,0.0259983007646542,0.0490654205607477,0.953271028037383,0.948598130841122,0.948837209302326,0.953271028037383,0.953271028037383,0.0514018691588785,0.951048951048951,0.901869158878505,204,11,203,10,0.901879005632905
"signalP3hmm",0.194676817558299,0.317757009345794,0.658878504672897,0.658878504672897,0.317757009345794,0.341121495327103,0.341121495327103,0.96588785046729,0.926712328767123,0.341121495327103,1,0.317757009345794,0.594444444444444,1,1,0.682242990654206,0.745644599303136,0.317757009345794,214,146,68,0,0.434613493680177
"predsi",0.699293502152721,0.808411214953271,0.904205607476635,0.904205607476636,0.808411214953271,0.0957943925233645,0.0957943925233645,0.292552570093457,0.529233644859813,0.0957943925233645,0.925233644859813,0.883177570093458,0.887892376681614,0.925233644859813,0.925233644859813,0.116822429906542,0.906178489702517,0.808411214953271,198,25,189,16,0.809127088609177
"phobius",0.851242558244743,0.906542056074766,0.953271028037383,0.953271028037383,0.906542056074766,0.0467289719626168,0.0467289719626168,0.99891417219739,0.171135873472321,0.0467289719626168,0.967289719626168,0.939252336448598,0.940909090909091,0.967289719626168,0.967289719626168,0.0607476635514018,0.953917050691244,0.906542056074767,207,13,201,7,0.906898580308203
"signalHsmm2010",0.78165077721257,0.905013538300288,0.952506769150144,0.95914490348502,0.850467289719626,0.0747663551401869,0.0747663551401869,0.892523364485981,0.724299065420561,0.0911214953271028,0.985981308411215,0.831775700934579,0.854251012145749,0.985981308411215,0.985981308411215,0.168224299065421,0.915401301518438,0.817757009345794,211,36,178,3,0.827656794415782
"signalHsmm2010NODEG",0.829452292676274,0.937811162546947,0.968905581273474,0.973796838151804,0.883177570093458,0.0584112149532711,0.0584112149532711,0.911214953271028,0.864485981308411,0.128504672897196,0.985981308411215,0.757009345794392,0.802281368821293,0.985981308411215,0.985981308411215,0.242990654205608,0.884696016771488,0.742990654205608,211,52,162,3,0.76326839191201
"signalHsmm1987",0.794727506007361,0.912263079744956,0.956131539872478,0.963599440999214,0.864485981308411,0.0677570093457945,0.0677570093457945,0.906542056074766,0.691588785046729,0.0841121495327103,0.981308411214953,0.850467289719626,0.867768595041322,0.981308411214953,0.981308411214953,0.149532710280374,0.921052631578947,0.831775700934579,210,32,182,4,0.838988189372799
"signalHsmm1987NODEG",0.806022509292932,0.937112411564329,0.968556205782164,0.974408245261595,0.85981308411215,0.0700934579439253,0.0700934579439253,0.906542056074766,0.850467289719626,0.088785046728972,0.985981308411215,0.836448598130841,0.857723577235772,0.985981308411215,0.985981308411215,0.163551401869159,0.917391304347826,0.822429906542056,211,35,179,3,0.831781813063926
