"","H","Gini","AUC","AUCH","KS","MER","MWL","Spec.Sens95","Sens.Spec95","ER","Sens","Spec","Precision","Recall","TPR","FPR","F","Youden","TP","FP","TN","FN","MCC"
"signalP41notm",0.528308659627487,0.671157848614306,0.835578924307153,0.835578924307153,0.671157848614306,0.130434782608696,0.113497164461248,0.697826086956522,0.399814520402756,0.130434782608696,0.774509803921569,0.896648044692737,0.681034482758621,0.774509803921569,0.774509803921569,0.103351955307263,0.724770642201835,0.671157848614306,79,37,321,23,0.642034042988095
"signalP41tm",0.462523287711126,0.585606309562931,0.792803154781466,0.792803154781466,0.585606309562931,0.126086956521739,0.143024574669187,0.805586592178771,0.120588235294117,0.126086956521739,0.647058823529412,0.93854748603352,0.75,0.647058823529412,0.647058823529412,0.0614525139664804,0.694736842105263,0.585606309562931,66,22,336,36,0.618492646542704
"signalP3nn",0.281501531926182,0.421787709497207,0.710893854748603,0.710893854748603,0.421787709497207,0.171739130434783,0.199565217391304,0.829608938547486,0.180357142857143,0.171739130434783,0.5,0.921787709497207,0.645569620253165,0.5,0.5,0.0782122905027933,0.56353591160221,0.421787709497207,51,28,330,51,0.464578905365001
"signalP3hmm",0.242558617128338,0.477653631284916,0.738826815642458,0.738826815642458,0.477653631284916,0.221739130434783,0.180283553875236,0.973882681564246,0.90427807486631,0.406521739130435,1,0.477653631284916,0.352941176470588,1,1,0.522346368715084,0.521739130434783,0.477653631284916,102,187,171,0,0.410589374644726
"predsi",0.205999435997083,0.319476393909519,0.65973819695476,0.65973819695476,0.319476393909519,0.180434782608696,0.234877126654064,0.871469099162011,0.0215686274509803,0.180434782608696,0.372549019607843,0.946927374301676,0.666666666666667,0.372549019607843,0.372549019607843,0.053072625698324,0.477987421383648,0.319476393909519,38,19,339,64,0.402800890478279
"phobius",0.453521096931999,0.59267170555373,0.796335852776865,0.796335852776865,0.59267170555373,0.13695652173913,0.140586011342155,0.774606399187405,0.272843137254901,0.13695652173913,0.676470588235294,0.916201117318436,0.696969696969697,0.676470588235294,0.676470588235294,0.0837988826815642,0.686567164179105,0.59267170555373,69,30,328,33,0.59907968842655
"signalHsmm2010",0.759959781410427,0.868003067148647,0.934001533574324,0.942395114470369,0.874301675977654,0.0978260869565217,0.0433837429111531,0.88268156424581,0.431372549019608,0.121739130434783,1,0.843575418994413,0.645569620253165,1,1,0.156424581005587,0.784615384615385,0.843575418994413,102,56,302,0,0.737961152700552
"signalHsmm2010NODEG",0.701598400437649,0.847409354803374,0.923704677401687,0.934576623945668,0.830923430824844,0.115217391304348,0.0583553875236295,0.860335195530726,0.411764705882353,0.119565217391304,0.970588235294118,0.854748603351955,0.655629139072848,0.970588235294118,0.970588235294118,0.145251396648045,0.782608695652174,0.825336838646073,99,52,306,3,0.730138275911248
"signalHsmm1987",0.731391975975767,0.865155000547705,0.932577500273853,0.942641581772374,0.843520648482857,0.0978260869565217,0.054007561436673,0.877094972067039,0.352941176470588,0.115217391304348,0.950980392156863,0.865921787709497,0.668965517241379,0.950980392156863,0.950980392156863,0.134078212290503,0.785425101214575,0.81690217986636,97,48,310,5,0.73041952877931
"signalHsmm1987NODEG",0.729109301468808,0.850476503450542,0.925238251725271,0.937178223244605,0.847683207361157,0.102173913043478,0.0525708884688091,0.877094972067039,0.441176470588235,0.104347826086957,0.96078431372549,0.877094972067039,0.690140845070423,0.96078431372549,0.96078431372549,0.122905027932961,0.80327868852459,0.837879285792529,98,44,314,4,0.753468882090307
