"soft";"H";"Gini";"AUC";"AUCH";"KS";"MER";"MWL";"Spec.Sens95";"Sens.Spec95";"ER";"Sens";"Spec";"Precision";"Recall";"TPR";"FPR";"F";"Youden";"TP";"FP";"TN";"FN";"MCC"
"signalP41notm";2;2;2;2;2;9;9;1;10;9;6;2;2;6;6;9;2;2;8;9;2;7;2
"signalP41tm";1;1;1;1;1;10;10;10;1;10;10;1;1;10;10;10;1;1;10;10;1;1;1
"signalP3nn";1;1;1;1;1;10;10;6;1;10;1;1;1;1;1;10;1;1;1;10;1;10;1
"signalP3hmm";6;6;6;6;6;6;6;7;6;6;3;7;6;3;3;6;6;6;3;6;7;10;6
"predsi";10;10;10;10;10;1;1;9;4;1;10;9;9;10;10;2;10;10;10;2;9;1;10
"philius";8;8;8;8;8;3;3;10;5;3;9;8;8;9;9;3;8;8;9;3;8;2;8
"phobius";7;7;7;7;6;5;5;4;7;5;6;7;7;6;6;6;7;7;8;6;7;7;7
"signalHsmm_10";3;3;3;3;3;8;8;6;8;8;3;5;3;3;3;8;3;3;3;8;5;10;3
"signalHsmmNOHOM50_10";5;5;5;5;5;7;7;2;10;7;6;5;5;6;6;8;5;5;8;8;5;7;5
"signalHsmmNODEG_10";10;10;10;10;10;1;1;8;2;1;3;10;10;3;3;1;10;10;3;1;10;10;10
"signalHsmm_87";5;5;5;5;5;7;7;2;10;7;6;5;5;6;6;8;5;5;8;8;5;7;5
"signalHsmmNOHOM50_87";7;7;7;7;6;5;5;4;7;5;6;7;7;6;6;6;7;7;8;6;7;7;7
"signalHsmmNODEG_87";9;9;9;9;9;2;2;5;3;2;6;10;10;6;6;1;9;9;8;1;10;7;9
